,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
4128,A Nightmare On Elm Street: The Dream Child,6000000,22168359,22168359,44336718,38336718
1648,A Nightmare on Elm Street,35000000,63075011,117729621,180804632,145804632
3255,A Nightmare on Elm Street 4: The Dream Master,13000000,49369899,49369899,98739798,85739798
4675,A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000,21163999,21163999,42327998,39327998
2086,A Passage to India,27500000,27187653,27187653,54375306,26875306
3198,A Perfect Getaway,14000000,15515460,22815460,38330920,24330920
3603,A Prairie Home Companion,10000000,20342852,26716191,47059043,37059043
2865,A Quiet Place,17000000,188024361,334522294,522546655,505546655
4676,A Room with a View,3000000,20966644,20966644,41933288,38933288
4021,A Serious Man,7000000,9228788,30360570,39589358,32589358
2523,A Simple Favor,20000000,53548586,97628717,151177303,131177303
2893,A Simple Plan,17000000,16316273,16316273,32632546,15632546
4023,A Single Man,7000000,9176000,28142379,37318379,30318379
1604,A Star is Born,36000000,215288866,433449571,648738437,612738437
3930,A Street Cat Named Bob,8000000,82703,17382693,17465396,9465396
5020,A Streetcar Named Desire,1800000,8000000,8000000,16000000,14200000
3873,A Thin Line Between Love & Hate,8000000,34873513,34873513,69747026,61747026
1387,A Time to Kill,40000000,108766007,152266007,261032014,221032014
2552,A Very Harold & Kumar 3D Christmas,20000000,35061031,36265745,71326776,51326776
1897,A View to a Kill,30000000,50327960,152627960,202955920,172955920
2066,A Walk Among the Tombstones,28000000,26017685,62108587,88126272,60126272
3874,A Walk in the Woods,8000000,29499394,37119358,66618752,58618752
3475,A Walk to Remember,11000000,41227069,46060861,87287930,76287930
357,A Wrinkle in Time,103000000,100478608,133401882,233880490,130880490
5010,ABCD (Any Body Can Dance),1900000,222098,10137234,10359332,8459332
2891,ATL,17000000,21170563,21170563,42341126,25341126
710,AVP: Alien Vs. Predator,70000000,80281096,172543519,252824615,182824615
1695,Abduction,35000000,28087155,86648359,114735514,79735514
3257,About Last Night,13000000,48637684,50445860,99083544,86083544
1870,About Schmidt,30000000,65005217,107054484,172059701,142059701
3394,About Time,12000000,15323921,89309178,104633099,92633099
2098,About a Boy,27000000,40803000,130759651,171562651,144562651
764,Abraham Lincoln: Vampire Hunter,67500000,37519139,137489730,175008869,107508869
1135,Absolute Power,50000000,50068310,50068310,100136620,50136620
3350,Ace Ventura: Pet Detective,12000000,72217396,107217396,179434792,167434792
1849,Ace Ventura: When Nature Calls,30000000,108360063,212400000,320760063,290760063
2534,Acrimony,20000000,43549096,46627836,90176932,70176932
1299,Across the Universe,45000000,24343673,29367143,53710816,8710816
3351,Act of Valor,12000000,70012847,82497035,152509882,140509882
4007,Action Jackson,7000000,20257000,20257000,40514000,33514000
4658,Adam,3200000,2283291,2834485,5117776,1917776
2758,Adaptation,18500000,22498520,32531759,55030279,36530279
4295,Addicted,5000000,17390770,17499242,34890012,29890012
2706,Admiral,20000000,0,38585047,38585047,18585047
3275,Admission,13000000,18007317,18733666,36740983,23740983
1688,Adrift,35000000,31445011,57897191,89342202,54342202
3749,Adventureland,9800000,16044025,17553055,33597080,23797080
1034,Aeon Flux,55000000,25857987,53913573,79771560,24771560
252,After Earth,130000000,60522097,251499665,312021762,182021762
4429,After Hours,4500000,10609321,10609321,21218642,16718642
974,After the Sunset,57000000,28328132,38329114,66657246,9657246
2198,Agent Cody Banks,25000000,47545060,58240458,105785518,80785518
2142,Agent Cody Banks 2: Destination London,26000000,23514247,28703083,52217330,26217330
4673,Air Bud,3000000,24646936,27788649,52435585,49435585
491,Air Force One,85000000,172956409,315268353,488224762,403224762
4461,Airlift (2016),4400000,0,9969237,9969237,5569237
4587,Airplane!,3500000,83453539,83453539,166907078,163407078
5259,Ajami,1000000,621859,2721096,3342955,2342955
3884,Akeelah and the Bee,8000000,18848430,18959424,37807854,29807854
4179,Akmareul Boatda,6000000,129210,13168809,13298019,7298019
80,Aladdin,182000000,246734314,619234314,865968628,683968628
3966,Albert Nobbs,7500000,3014696,8539003,11553699,4053699
1699,Alex Cross,35000000,25888412,35426759,61315171,26315171
150,Alexander,155000000,34297191,167297191,201594382,46594382
2043,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,66954149,101379287,168333436,140333436
4917,Alexander's Ragtime Band,2000000,4000000,4000000,8000000,6000000
1511,Alfie,40000000,13395939,35195939,48591878,8591878
344,Ali,109000000,58183966,87683966,145867932,36867932
125,Alice Through the Looking Glass,170000000,77042381,276928112,353970493,183970493
50,Alice in Wonderland,200000000,334191110,1025491110,1359682220,1159682220
3520,Alien,10700000,80930630,203628947,284559577,273859577
1016,Alien 3,55000000,54927174,158500000,213427174,158427174
411,Alien: Covenant,97000000,74262031,238521247,312783278,215783278
900,Alien: Resurrection,60000000,47795018,160700000,208495018,148495018
2867,Aliens,17000000,85160248,183316455,268476703,251476703
1298,Aliens in the Attic,45000000,25200412,59551283,84751695,39751695
1451,Aliens vs. Predator - Requiem,40000000,41797066,128884494,170681560,130681560
123,Alita: Battle Angel,170000000,85710210,402976036,488686246,318686246
1801,Alive,32000000,36299670,36299670,72599340,40599340
3040,All About Steve,15000000,33862903,40127259,73990162,58990162
3192,All About the Benjamins,14000000,25482931,25873145,51356076,37356076
1290,All Eyez on Me,45000000,44922302,54876855,99799157,54799157
4911,All Saints,2000000,5802208,5941994,11744202,9744202
5558,All You Need Is Love,300000,0,3565259,3565259,3265259
3842,All is Lost,8500000,6263670,10386814,16650484,8150484
5382,All the Boys Love Mandy Lane,750000,0,1960521,1960521,1210521
5262,All the Real Girls,1000000,549666,703020,1252686,252686
346,Allied,106000000,40098064,119266661,159364725,53364725
2880,Almost Christmas,17000000,42065185,42493506,84558691,67558691
921,Almost Famous,60000000,32522352,47371191,79893543,19893543
1602,Aloha,37000000,21052030,25387091,46439121,9439121
1346,Along Came Polly,42000000,88073507,173044410,261117917,219117917
2038,Along Came a Spider,28000000,74058698,105159085,179217783,151217783
1078,Alpha,51000000,35851379,99624873,135476252,84476252
2579,Alpha and Omega 3D,20000000,25107267,48958353,74065620,54065620
982,Alvin and the Chipmunks,55000000,217326974,362605033,579932007,524932007
