,title,domestic_gross,year
3157,The Spy Who Dumped Me,33600000,2018
2847,The Star,40900000,2017
1534,The Theory of Everything,35900000,2014
823,The Three Stooges,44300000,2012
25,The Tourist,67600000,2010
46,The Town,92200000,2010
331,The Twilight Saga: Breaking Dawn Part 1,281300000,2011
732,The Twilight Saga: Breaking Dawn Part 2,292300000,2012
5,The Twilight Saga: Eclipse,300500000,2010
1941,The Visit,65200000,2015
767,The Vow,125000000,2012
815,The Watch,35400000,2012
1950,The Wedding Ringer,64500000,2015
1143,The Wolf of Wall Street,116900000,2013
49,The Wolfman,62000000,2010
1141,The Wolverine,132600000,2013
783,The Woman in Black,54300000,2012
798,Think Like a Man,91500000,2012
1562,Think Like a Man Too,65200000,2014
799,This Is 40,67500000,2012
775,This Means War,54800000,2012
1590,This is Where I Leave You,34300000,2014
1185,This is the End,101500000,2013
342,Thor,181000000,2011
2766,Thor: Ragnarok,315100000,2017
1136,Thor: The Dark World,206400000,2013
2813,"Three Billboards Outside Ebbing, Missouri",54500000,2017
749,Titanic 3D,57900000,2012
3114,Tomb Raider,58300000,2018
1908,Tomorrowland,93400000,2015
58,Tooth Fairy,60000000,2010
766,Total Recall (2012),58900000,2012
375,Tower Heist,78000000,2011
0,Toy Story 3,415000000,2010
1921,Trainwreck,110200000,2015
1477,Transformers: Age of Extinction,245400000,2014
329,Transformers: Dark of the Moon,352400000,2011
2773,Transformers: The Last Knight,130199999,2017
2346,Trolls,153700000,2016
13,Tron Legacy,172100000,2010
829,Trouble with the Curve,35800000,2012
29,True Grit,171200000,2010
3140,Truth or Dare,41400000,2018
1153,Turbo,83000000,2013
1231,Tyler Perry's A Madea Christmas,52500000,2013
3176,Tyler Perry's Acrimony,43500000,2018
2859,Tyler Perry's Boo 2! A Madea Halloween,47300000,2017
842,Tyler Perry's Good Deeds,35000000,2012
431,Tyler Perry's Madea's Big Happy Family,53300000,2011
817,Tyler Perry's Madea's Witness Protection,65700000,2012
1232,Tyler Perry's Temptation: Confessions of a Marriage Counselor,52000000,2013
94,Tyler Perry's Why Did I Get Married Too?,60100000,2010
1524,Unbroken,115600000,2014
3175,Uncle Drew,42500000,2018
774,Underworld Awakening,62300000,2012
2839,Underworld: Blood Wars,30400000,2017
1958,Unfriended,32500000,2015
389,Unknown,63700000,2011
43,Unstoppable,81600000,2010
1936,Vacation,58900000,2015
33,Valentine's Day,110500000,2010
2800,Valerian and the City of a Thousand Planets,41200000,2017
76,Vampires Suck,36700000,2010
3085,Venom (2018),213500000,2018
3153,Vice,47800000,2018
1184,Walking with Dinosaurs,36100000,2013
52,Wall Street: Money Never Sleeps,52500000,2010
2407,War Dogs,43000000,2016
366,War Horse,79900000,2011
1955,War Room,67800000,2015
2777,War for the Planet of the Apes,146900000,2017
2339,Warcraft,47400000,2016
1189,Warm Bodies,66400000,2013
392,Water for Elephants,58700000,2011
391,We Bought a Zoo,75600000,2011
1155,We're the Millers,150400000,2013
802,What to Expect When You're Expecting,41200000,2012
116,When in Rome,32700000,2010
2449,When the Bough Breaks,29700000,2016
1604,When the Game Stands Tall,30100000,2014
1165,White House Down,73100000,2013
2391,Why Him?,60300000,2016
3154,Widows,42400000,2018
1579,Wild (2014),37900000,2014
2876,Wind River,33800000,2017
1962,Woman in Gold,33299999,2015
2790,Wonder,132400000,2017
2767,Wonder Woman,412600000,2017
1138,World War Z,202400000,2013
753,Wrath of the Titans,83700000,2012
740,Wreck-It Ralph,189400000,2012
2336,X-Men: Apocalypse,155400000,2016
1482,X-Men: Days of Future Past,233900000,2014
345,X-Men: First Class,146400000,2011
37,Yogi Bear,100200000,2010
780,Zero Dark Thirty,95700000,2012
370,Zookeeper,80400000,2011
2426,Zoolander 2,28800000,2016
2325,Zootopia,341300000,2016
2785,xXx: The Return of Xander Cage,44900000,2017
